#Time[sec]	Frequency[Hz]	Power[(m/s)^2ÅEs]
1.28	0	3.76493308552014E-18
1.28	0.390625	3.7017351444978E-17
1.28	0.78125	3.64353278960666E-17
1.28	1.171875	1.27710508193409E-16
1.28	1.5625	2.74740124704653E-16
1.28	1.953125	1.51840093634414E-16
1.28	2.34375	3.1933872563515E-17
1.28	2.734375	2.73409229441941E-18
1.28	3.125	4.74725723655969E-17
1.28	3.515625	6.80914365559188E-17
1.28	3.90625	7.05458768758414E-17
1.28	4.296875	4.70432349073895E-17
1.28	4.6875	4.44961012331468E-17
1.28	5.078125	2.91351511445801E-17
1.28	5.46875	6.57450472714412E-18
1.28	5.859375	1.4577261997131E-18
1.28	6.25	1.65256873348691E-17
1.28	6.640625	4.5855137299448E-18
1.28	7.03125	2.92193640416051E-17
1.28	7.421875	4.57241654154909E-18
1.28	7.8125	4.37170153403353E-18
1.28	8.203125	1.86937217138284E-18
1.28	8.59375	1.62317298265758E-18
1.28	8.984375	7.33000673766269E-18
1.28	9.375	6.88046669854087E-18
1.28	9.765625	4.68589619632808E-19
1.28	10.15625	1.27902422808158E-18
1.28	10.546875	4.32707235584508E-19
1.28	10.9375	8.20848176313638E-19
1.28	11.328125	5.94870807299701E-18
1.28	11.71875	7.95126422285992E-18
1.28	12.109375	5.94486036104913E-19
1.28	12.5	3.80149003177646E-18
1.28	12.890625	4.85298050869184E-18
1.28	13.28125	6.37751369934085E-18
1.28	13.671875	5.62874423451673E-18
1.28	14.0625	3.57535608781137E-19
1.28	14.453125	8.96562744270362E-19
1.28	14.84375	1.71792559917608E-18
1.28	15.234375	3.19544205649068E-18
1.28	15.625	9.93859148502138E-18
1.28	16.015625	1.5959393957646E-17
1.28	16.40625	8.41197369251301E-18
1.28	16.796875	1.43064402547288E-17
1.28	17.1875	1.95245736572509E-17
1.28	17.578125	9.68886798947044E-18
1.28	17.96875	5.51322366569048E-18
1.28	18.359375	6.28843416236867E-18
1.28	18.75	2.65927138581038E-19
1.28	19.140625	4.50936501865483E-19
1.28	19.53125	9.93300426566962E-19
1.28	19.921875	9.51157578694831E-19
1.28	20.3125	1.59693467025613E-18
1.28	20.703125	3.6843356908809E-18
1.28	21.09375	6.82477615763695E-18
1.28	21.484375	9.96958988840888E-18
1.28	21.875	1.61054017568849E-18
1.28	22.265625	3.09459347886113E-18
1.28	22.65625	2.07695672698808E-18
1.28	23.046875	7.73372542564478E-18
1.28	23.4375	2.67353840915551E-17
1.28	23.828125	3.10246529770392E-17
1.28	24.21875	3.0976384717897E-17
1.28	24.609375	1.57655511214203E-17
1.28	25	4.73544688120749E-18
1.28	25.390625	2.53546477197962E-19
1.28	25.78125	5.7243378447911E-19
1.28	26.171875	4.02272054798976E-18
1.28	26.5625	6.21289989123565E-18
1.28	26.953125	2.9820934981368E-19
1.28	27.34375	4.43871368450019E-18
1.28	27.734375	8.9987315863233E-18
1.28	28.125	1.14325164665013E-17
1.28	28.515625	2.15373081575193E-17
1.28	28.90625	3.08748755141862E-18
1.28	29.296875	4.20705181724432E-18
1.28	29.6875	8.28741084862999E-18
1.28	30.078125	5.72408120771099E-19
1.28	30.46875	7.08980924572719E-19
1.28	30.859375	6.00378516803407E-18
1.28	31.25	5.59872999977846E-18
1.28	31.640625	5.38117354183186E-19
1.28	32.03125	1.81761189858102E-18
1.28	32.421875	2.14172768623209E-18
1.28	32.8125	1.90752463372673E-18
1.28	33.203125	6.89662398103735E-20
1.28	33.59375	8.03657866020296E-18
1.28	33.984375	9.74574416117911E-18
1.28	34.375	5.21685294598422E-18
1.28	34.765625	3.02117428789046E-21
1.28	35.15625	2.37749616456487E-18
1.28	35.546875	3.0093829916166E-18
1.28	35.9375	1.48134688764497E-18
1.28	36.328125	3.99822257980881E-19
1.28	36.71875	4.94480704643184E-19
1.28	37.109375	1.97268492076163E-18
1.28	37.5	5.29578412537378E-18
1.28	37.890625	2.70482551085103E-18
1.28	38.28125	5.33573693658045E-19
1.28	38.671875	1.8203704912391E-18
1.28	39.0625	1.12607723497466E-18
1.28	39.453125	3.45435405806603E-18
1.28	39.84375	3.26975456778522E-18
1.28	40.234375	2.22736249426775E-18
1.28	40.625	8.43887825956523E-18
1.28	41.015625	3.8161165132439E-18
1.28	41.40625	1.09340079316093E-19
1.28	41.796875	1.12240859820373E-17
1.28	42.1875	5.07094075825357E-18
1.28	42.578125	3.76981164643714E-18
1.28	42.96875	2.2361214349453E-19
1.28	43.359375	5.40805124116838E-18
1.28	43.75	3.89939762118489E-18
1.28	44.140625	2.26421447514382E-19
1.28	44.53125	6.43203892383632E-19
1.28	44.921875	2.83843689303662E-19
1.28	45.3125	5.80578587672396E-19
1.28	45.703125	2.46677366671803E-19
1.28	46.09375	2.82881059544992E-20
1.28	46.484375	1.45762995782719E-20
1.28	46.875	2.77626199990902E-21
1.28	47.265625	1.02660553753774E-21
